Bin,Depth,AvgAge_Min,AvgAge_Max,MEDAge,TimeInterval
1,7.5,242,908,575,666
2,22.5,1556,2098,1827,542
3,37.5,2412,3158,2785,745
4,52.5,3236,3924,3580,688
5,67.5,4497,5396,4947,899
6,82.5,5454,6581,6018,1127
7,97.5,6349,7676,7012,1327
8,112.5,8408,9255,8831,847
9,127.5,9638,10622,10130,984
10,142.5,10896,12196,11546,1300
11,157.5,12599,13186,12892,587
12,172.5,13194,13575,13385,381
13,187.5,13427,13946,13687,519
14,202.5,13910,15018,14464,1109
15,217.5,14466,16927,15697,2460
16,232.5,15634,17710,16672,2076
17,247.5,17019,18423,17721,1405
18,262.5,17772,18855,18313,1082
19,277.5,18239,19307,18773,1067
20,292.5,18987,19736,19362,749